Image name,IoU - raw result [%],IoU - post-processed result [%],Objects (> 1% total area),Roof area [m^2] - mapped,Roof area [m^2] - raw result,Roof area [m^2] - post-processed result,Solar panels estimation - mapped,Solar panels estimation - raw result,Solar panels estimation - post-processed result
patch_24_90.png,75.63,75.83,5,2490.5299999999997,2425.6000000000004,2435.82,1383,1347,1353
patch_44_76.png,76.26,76.06,1,1532.86,1537.62,1540.37,852,854,856
patch_49_5.png,87.29,87.14,1,1030.86,1003.72,1007.04,573,558,559
patch_43_12.png,75.84,75.86,4,1736.3899999999999,1481.0600000000002,1483.3500000000001,965,823,824
patch_57_95.png,72.14,72.28,3,1335.1299999999999,976.4499999999999,977.9,742,542,544
patch_43_75.png,85.25,85.32,3,1557.69,1566.49,1572.7,866,870,874
patch_54_10.png,82.88,83.06,2,1363.55,1292.41,1296.8600000000001,757,718,721
patch_88_5.png,90.3,90.3,1,310.9,296.47,296.47,173,165,165
patch_1_80.png,0.0,0.0,0,0.0,0.0,0.0,0,0,0
patch_54_91.png,81.62,81.56,2,936.1800000000001,910.2,911.35,520,506,507
patch_6_24.png,51.15,51.05,1,241.19,422.76,423.49,134,235,235
patch_18_1.png,62.55,62.6,0,0.0,0.0,0.0,0,0,0
patch_33_78.png,77.89,77.99,4,2004.2800000000002,1978.27,1985.5,1114,1099,1104
patch_41_12.png,58.89,58.89,1,193.55,108.4,108.4,108,60,60
patch_29_84.png,64.39,64.48,4,2473.24,2307.67,2314.3,1374,1282,1286
patch_61_10.png,92.93,93.07,1,406.74,379.61,380.47,226,211,211
patch_17_3.png,75.0,75.06,1,426.37,386.82,389.27,237,215,216
patch_32_91.png,76.46,76.04,0,0.0,0.0,0.0,0,0,0
patch_7_35.png,55.46,55.26,0,0.0,0.0,0.0,0,0,0
patch_27_94.png,76.37,76.9,1,409.78,333.27,336.31,228,185,187
patch_74_22.png,77.5,77.86,1,227.76,230.65,231.38,127,128,129
patch_75_23.png,91.17,91.44,1,1569.38,1532.15,1535.75,872,851,853
patch_35_90.png,91.12,91.02,1,913.37,935.75,936.32,507,520,520
patch_24_105.png,87.94,87.98,1,1151.68,1013.83,1017.73,640,563,565
patch_9_1.png,85.64,85.42,1,548.04,546.46,546.75,304,304,304
patch_32_98.png,89.65,89.73,1,543.73,562.63,562.78,302,313,313
patch_7_47.png,0.0,0.0,0,0.0,0.0,0.0,0,0,0
patch_31_94.png,86.16,86.14,7,2857.89,2637.19,2638.93,1588,1466,1466
patch_58_14.png,11.58,11.82,0,0.0,0.0,0.0,0,0,0
patch_29_95.png,81.32,81.39,6,2892.9700000000003,2550.3199999999997,2555.22,1607,1416,1419
patch_32_92.png,79.67,79.69,5,2184.8300000000004,2020.7199999999996,2023.62,1214,1123,1124
patch_62_91.png,69.16,69.37,3,998.9699999999999,763.28,770.34,555,425,428
patch_34_100.png,86.07,86.2,1,812.33,741.76,741.76,451,412,412
patch_75_13.png,84.35,84.54,2,1731.6200000000001,1399.92,1403.96,962,777,780
patch_28_86.png,67.46,67.59,1,730.21,614.44,615.59,406,341,342
patch_26_93.png,83.74,83.61,2,1059.15,1022.62,1023.79,589,568,569
patch_4_86.png,59.65,59.65,0,0.0,0.0,0.0,0,0,0
